f0003 | 10 | knn | 30days | 15 | False | 0.5 | 0.07 | 0.01 | [[621, 626, 646, 666, 716], [517, 522, 542, 562, 612], [439, 444, 464, 484, 534]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.5 | 0.05 | 0.001 | [[542, 547, 567, 587, 637], [440, 445, 465, 485, 535], [365, 370, 390, 410, 460]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.5 | 0.05 | 0.003 | [[542, 547, 567, 587, 637], [440, 445, 465, 485, 535], [365, 370, 390, 410, 460]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.5 | 0.05 | 0.005 | [[542, 547, 567, 587, 637], [440, 445, 465, 485, 535], [365, 370, 390, 410, 460]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.5 | 0.05 | 0.01 | [[544, 549, 569, 589, 639], [442, 447, 467, 487, 537], [367, 372, 392, 412, 462]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.6 | 0.2 | 0.001 | [[584, 594, 634, 674, 774], [483, 493, 533, 573, 673], [413, 423, 463, 503, 603]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.6 | 0.2 | 0.003 | [[581, 586, 606, 626, 676], [480, 485, 505, 525, 575], [409, 414, 434, 454, 504]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.6 | 0.2 | 0.005 | [[582, 587, 607, 627, 677], [481, 486, 506, 526, 576], [410, 415, 435, 455, 505]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.6 | 0.2 | 0.01 | [[587, 592, 612, 632, 682], [486, 491, 511, 531, 581], [415, 420, 440, 460, 510]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.6 | 0.15 | 0.001 | [[572, 582, 622, 662, 762], [471, 481, 521, 561, 661], [401, 411, 451, 491, 591]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.6 | 0.15 | 0.003 | [[569, 574, 594, 614, 664], [468, 473, 493, 513, 563], [397, 402, 422, 442, 492]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.6 | 0.15 | 0.005 | [[570, 575, 595, 615, 665], [469, 474, 494, 514, 564], [398, 403, 423, 443, 493]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.6 | 0.15 | 0.01 | [[575, 580, 600, 620, 670], [474, 479, 499, 519, 569], [403, 408, 428, 448, 498]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.6 | 0.1 | 0.001 | [[541, 551, 591, 631, 731], [440, 450, 490, 530, 630], [371, 381, 421, 461, 561]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.6 | 0.1 | 0.003 | [[538, 543, 563, 583, 633], [437, 442, 462, 482, 532], [367, 372, 392, 412, 462]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.6 | 0.1 | 0.005 | [[539, 544, 564, 584, 634], [438, 443, 463, 483, 533], [368, 373, 393, 413, 463]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.6 | 0.1 | 0.01 | [[544, 549, 569, 589, 639], [443, 448, 468, 488, 538], [373, 378, 398, 418, 468]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.6 | 0.07 | 0.001 | [[496, 506, 546, 586, 686], [398, 408, 448, 488, 588], [330, 340, 380, 420, 520]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.6 | 0.07 | 0.003 | [[493, 498, 518, 538, 588], [395, 400, 420, 440, 490], [326, 331, 351, 371, 421]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.6 | 0.07 | 0.005 | [[494, 499, 519, 539, 589], [396, 401, 421, 441, 491], [327, 332, 352, 372, 422]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.6 | 0.07 | 0.01 | [[499, 504, 524, 544, 594], [401, 406, 426, 446, 496], [332, 337, 357, 377, 427]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.6 | 0.05 | 0.001 | [[453, 463, 503, 543, 643], [357, 367, 407, 447, 547], [292, 302, 342, 382, 482]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.6 | 0.05 | 0.003 | [[450, 455, 475, 495, 545], [354, 359, 379, 399, 449], [288, 293, 313, 333, 383]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.6 | 0.05 | 0.005 | [[451, 456, 476, 496, 546], [355, 360, 380, 400, 450], [289, 294, 314, 334, 384]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.6 | 0.05 | 0.01 | [[456, 461, 481, 501, 551], [360, 365, 385, 405, 455], [294, 299, 319, 339, 389]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.7 | 0.2 | 0.001 | [[400, 420, 500, 580, 780], [315, 330, 390, 450, 600], [255, 270, 330, 390, 540]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.7 | 0.2 | 0.003 | [[398, 413, 473, 533, 683], [313, 323, 363, 403, 503], [252, 262, 302, 342, 442]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.7 | 0.2 | 0.005 | [[401, 416, 476, 536, 686], [315, 325, 365, 405, 505], [254, 264, 304, 344, 444]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.7 | 0.2 | 0.01 | [[411, 416, 436, 456, 506], [327, 332, 352, 372, 422], [265, 270, 290, 310, 360]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.7 | 0.15 | 0.001 | [[397, 417, 497, 577, 777], [312, 327, 387, 447, 597], [252, 267, 327, 387, 537]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.7 | 0.15 | 0.003 | [[395, 410, 470, 530, 680], [310, 320, 360, 400, 500], [249, 259, 299, 339, 439]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.7 | 0.15 | 0.005 | [[398, 413, 473, 533, 683], [312, 322, 362, 402, 502], [251, 261, 301, 341, 441]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.7 | 0.15 | 0.01 | [[408, 413, 433, 453, 503], [324, 329, 349, 369, 419], [262, 267, 287, 307, 357]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.7 | 0.1 | 0.001 | [[385, 405, 485, 565, 765], [300, 315, 375, 435, 585], [240, 255, 315, 375, 525]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.7 | 0.1 | 0.003 | [[383, 398, 458, 518, 668], [298, 308, 348, 388, 488], [237, 247, 287, 327, 427]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.7 | 0.1 | 0.005 | [[386, 401, 461, 521, 671], [300, 310, 350, 390, 490], [239, 249, 289, 329, 429]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.7 | 0.1 | 0.01 | [[396, 401, 421, 441, 491], [312, 317, 337, 357, 407], [250, 255, 275, 295, 345]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.7 | 0.07 | 0.001 | [[375, 395, 475, 555, 755], [291, 306, 366, 426, 576], [231, 246, 306, 366, 516]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.7 | 0.07 | 0.003 | [[373, 388, 448, 508, 658], [289, 299, 339, 379, 479], [228, 238, 278, 318, 418]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.7 | 0.07 | 0.005 | [[376, 391, 451, 511, 661], [291, 301, 341, 381, 481], [230, 240, 280, 320, 420]] | 
