f0001 | 10 | lof | 15days | 15 | False | 0.5 | 0.07 | 0.01 | [[402, 402, 402, 402, 402], [308, 308, 308, 308, 308], [238, 238, 238, 238, 238]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.5 | 0.05 | 0.001 | [[179, 179, 179, 179, 179], [127, 127, 127, 127, 127], [98, 98, 98, 98, 98]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.5 | 0.05 | 0.003 | [[234, 234, 234, 234, 234], [164, 164, 164, 164, 164], [126, 126, 126, 126, 126]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.5 | 0.05 | 0.005 | [[292, 292, 292, 292, 292], [214, 214, 214, 214, 214], [156, 156, 156, 156, 156]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.5 | 0.05 | 0.01 | [[397, 397, 397, 397, 397], [303, 303, 303, 303, 303], [233, 233, 233, 233, 233]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.6 | 0.2 | 0.001 | [[147, 147, 147, 147, 147], [108, 108, 108, 108, 108], [86, 86, 86, 86, 86]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.6 | 0.2 | 0.003 | [[209, 209, 209, 209, 209], [150, 150, 150, 150, 150], [116, 116, 116, 116, 116]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.6 | 0.2 | 0.005 | [[269, 269, 269, 269, 269], [201, 201, 201, 201, 201], [147, 147, 147, 147, 147]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.6 | 0.2 | 0.01 | [[386, 386, 386, 386, 386], [298, 298, 298, 298, 298], [229, 229, 229, 229, 229]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.6 | 0.15 | 0.001 | [[146, 146, 146, 146, 146], [107, 107, 107, 107, 107], [85, 85, 85, 85, 85]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.6 | 0.15 | 0.003 | [[208, 208, 208, 208, 208], [149, 149, 149, 149, 149], [115, 115, 115, 115, 115]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.6 | 0.15 | 0.005 | [[268, 268, 268, 268, 268], [200, 200, 200, 200, 200], [146, 146, 146, 146, 146]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.6 | 0.15 | 0.01 | [[385, 385, 385, 385, 385], [297, 297, 297, 297, 297], [228, 228, 228, 228, 228]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.6 | 0.1 | 0.001 | [[146, 146, 146, 146, 146], [107, 107, 107, 107, 107], [85, 85, 85, 85, 85]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.6 | 0.1 | 0.003 | [[208, 208, 208, 208, 208], [149, 149, 149, 149, 149], [115, 115, 115, 115, 115]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.6 | 0.1 | 0.005 | [[268, 268, 268, 268, 268], [200, 200, 200, 200, 200], [146, 146, 146, 146, 146]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.6 | 0.1 | 0.01 | [[385, 385, 385, 385, 385], [297, 297, 297, 297, 297], [228, 228, 228, 228, 228]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.6 | 0.07 | 0.001 | [[143, 143, 143, 143, 143], [104, 104, 104, 104, 104], [82, 82, 82, 82, 82]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.6 | 0.07 | 0.003 | [[205, 205, 205, 205, 205], [146, 146, 146, 146, 146], [112, 112, 112, 112, 112]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.6 | 0.07 | 0.005 | [[265, 265, 265, 265, 265], [197, 197, 197, 197, 197], [143, 143, 143, 143, 143]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.6 | 0.07 | 0.01 | [[382, 382, 382, 382, 382], [294, 294, 294, 294, 294], [225, 225, 225, 225, 225]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.6 | 0.05 | 0.001 | [[143, 143, 143, 143, 143], [104, 104, 104, 104, 104], [82, 82, 82, 82, 82]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.6 | 0.05 | 0.003 | [[205, 205, 205, 205, 205], [146, 146, 146, 146, 146], [112, 112, 112, 112, 112]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.6 | 0.05 | 0.005 | [[265, 265, 265, 265, 265], [197, 197, 197, 197, 197], [143, 143, 143, 143, 143]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.6 | 0.05 | 0.01 | [[382, 382, 382, 382, 382], [294, 294, 294, 294, 294], [225, 225, 225, 225, 225]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.7 | 0.2 | 0.001 | [[125, 130, 150, 170, 220], [92, 97, 117, 137, 187], [70, 75, 95, 115, 165]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.7 | 0.2 | 0.003 | [[186, 186, 186, 186, 186], [131, 131, 131, 131, 131], [97, 97, 97, 97, 97]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.7 | 0.2 | 0.005 | [[251, 251, 251, 251, 251], [187, 187, 187, 187, 187], [133, 133, 133, 133, 133]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.7 | 0.2 | 0.01 | [[381, 381, 381, 381, 381], [294, 294, 294, 294, 294], [225, 225, 225, 225, 225]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.7 | 0.15 | 0.001 | [[124, 129, 149, 169, 219], [91, 96, 116, 136, 186], [69, 74, 94, 114, 164]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.7 | 0.15 | 0.003 | [[185, 185, 185, 185, 185], [130, 130, 130, 130, 130], [96, 96, 96, 96, 96]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.7 | 0.15 | 0.005 | [[250, 250, 250, 250, 250], [186, 186, 186, 186, 186], [132, 132, 132, 132, 132]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.7 | 0.15 | 0.01 | [[380, 380, 380, 380, 380], [293, 293, 293, 293, 293], [224, 224, 224, 224, 224]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.7 | 0.1 | 0.001 | [[124, 129, 149, 169, 219], [91, 96, 116, 136, 186], [69, 74, 94, 114, 164]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.7 | 0.1 | 0.003 | [[185, 185, 185, 185, 185], [130, 130, 130, 130, 130], [96, 96, 96, 96, 96]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.7 | 0.1 | 0.005 | [[250, 250, 250, 250, 250], [186, 186, 186, 186, 186], [132, 132, 132, 132, 132]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.7 | 0.1 | 0.01 | [[380, 380, 380, 380, 380], [293, 293, 293, 293, 293], [224, 224, 224, 224, 224]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.7 | 0.07 | 0.001 | [[121, 126, 146, 166, 216], [88, 93, 113, 133, 183], [66, 71, 91, 111, 161]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.7 | 0.07 | 0.003 | [[182, 182, 182, 182, 182], [127, 127, 127, 127, 127], [93, 93, 93, 93, 93]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.7 | 0.07 | 0.005 | [[247, 247, 247, 247, 247], [183, 183, 183, 183, 183], [129, 129, 129, 129, 129]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.7 | 0.07 | 0.01 | [[377, 377, 377, 377, 377], [290, 290, 290, 290, 290], [221, 221, 221, 221, 221]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.7 | 0.05 | 0.001 | [[121, 126, 146, 166, 216], [88, 93, 113, 133, 183], [66, 71, 91, 111, 161]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.7 | 0.05 | 0.003 | [[182, 182, 182, 182, 182], [127, 127, 127, 127, 127], [93, 93, 93, 93, 93]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.7 | 0.05 | 0.005 | [[247, 247, 247, 247, 247], [183, 183, 183, 183, 183], [129, 129, 129, 129, 129]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.7 | 0.05 | 0.01 | [[377, 377, 377, 377, 377], [290, 290, 290, 290, 290], [221, 221, 221, 221, 221]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.8 | 0.2 | 0.001 | [[99, 104, 124, 144, 194], [67, 72, 92, 112, 162], [51, 56, 76, 96, 146]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.8 | 0.2 | 0.003 | [[166, 166, 166, 166, 166], [112, 112, 112, 112, 112], [80, 80, 80, 80, 80]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.8 | 0.2 | 0.005 | [[234, 234, 234, 234, 234], [171, 171, 171, 171, 171], [118, 118, 118, 118, 118]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.8 | 0.2 | 0.01 | [[371, 371, 371, 371, 371], [284, 284, 284, 284, 284], [215, 215, 215, 215, 215]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.8 | 0.15 | 0.001 | [[99, 104, 124, 144, 194], [67, 72, 92, 112, 162], [51, 56, 76, 96, 146]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.8 | 0.15 | 0.003 | [[166, 166, 166, 166, 166], [112, 112, 112, 112, 112], [80, 80, 80, 80, 80]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.8 | 0.15 | 0.005 | [[234, 234, 234, 234, 234], [171, 171, 171, 171, 171], [118, 118, 118, 118, 118]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.8 | 0.15 | 0.01 | [[371, 371, 371, 371, 371], [284, 284, 284, 284, 284], [215, 215, 215, 215, 215]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.8 | 0.1 | 0.001 | [[99, 104, 124, 144, 194], [67, 72, 92, 112, 162], [51, 56, 76, 96, 146]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.8 | 0.1 | 0.003 | [[166, 166, 166, 166, 166], [112, 112, 112, 112, 112], [80, 80, 80, 80, 80]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.8 | 0.1 | 0.005 | [[234, 234, 234, 234, 234], [171, 171, 171, 171, 171], [118, 118, 118, 118, 118]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.8 | 0.1 | 0.01 | [[371, 371, 371, 371, 371], [284, 284, 284, 284, 284], [215, 215, 215, 215, 215]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.8 | 0.07 | 0.001 | [[97, 102, 122, 142, 192], [65, 70, 90, 110, 160], [49, 54, 74, 94, 144]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.8 | 0.07 | 0.003 | [[164, 164, 164, 164, 164], [110, 110, 110, 110, 110], [78, 78, 78, 78, 78]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.8 | 0.07 | 0.005 | [[232, 232, 232, 232, 232], [169, 169, 169, 169, 169], [116, 116, 116, 116, 116]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.8 | 0.07 | 0.01 | [[369, 369, 369, 369, 369], [282, 282, 282, 282, 282], [213, 213, 213, 213, 213]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.8 | 0.05 | 0.001 | [[97, 102, 122, 142, 192], [65, 70, 90, 110, 160], [49, 54, 74, 94, 144]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.8 | 0.05 | 0.003 | [[164, 164, 164, 164, 164], [110, 110, 110, 110, 110], [78, 78, 78, 78, 78]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.8 | 0.05 | 0.005 | [[232, 232, 232, 232, 232], [169, 169, 169, 169, 169], [116, 116, 116, 116, 116]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.8 | 0.05 | 0.01 | [[369, 369, 369, 369, 369], [282, 282, 282, 282, 282], [213, 213, 213, 213, 213]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.9 | 0.2 | 0.001 | [[89, 94, 114, 134, 184], [57, 62, 82, 102, 152], [44, 49, 69, 89, 139]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.9 | 0.2 | 0.003 | [[157, 157, 157, 157, 157], [103, 103, 103, 103, 103], [74, 74, 74, 74, 74]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.9 | 0.2 | 0.005 | [[225, 225, 225, 225, 225], [162, 162, 162, 162, 162], [112, 112, 112, 112, 112]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.9 | 0.2 | 0.01 | [[362, 362, 362, 362, 362], [275, 275, 275, 275, 275], [209, 209, 209, 209, 209]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.9 | 0.15 | 0.001 | [[89, 94, 114, 134, 184], [57, 62, 82, 102, 152], [44, 49, 69, 89, 139]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.9 | 0.15 | 0.003 | [[157, 157, 157, 157, 157], [103, 103, 103, 103, 103], [74, 74, 74, 74, 74]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.9 | 0.15 | 0.005 | [[225, 225, 225, 225, 225], [162, 162, 162, 162, 162], [112, 112, 112, 112, 112]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.9 | 0.15 | 0.01 | [[362, 362, 362, 362, 362], [275, 275, 275, 275, 275], [209, 209, 209, 209, 209]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.9 | 0.1 | 0.001 | [[89, 94, 114, 134, 184], [57, 62, 82, 102, 152], [44, 49, 69, 89, 139]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.9 | 0.1 | 0.003 | [[157, 157, 157, 157, 157], [103, 103, 103, 103, 103], [74, 74, 74, 74, 74]] | 
