vehicles | 20 | lof | 15days | 15 | False | 0.5 | 0.05 | 0.001 | [[744, 830, 1260, 2120], [670, 738, 1078, 1758], [631, 689, 979, 1559]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.5 | 0.05 | 0.003 | [[744, 830, 1260, 2120], [670, 738, 1078, 1758], [631, 689, 979, 1559]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.5 | 0.05 | 0.005 | [[732, 805, 1170, 1900], [694, 758, 1078, 1718], [657, 712, 987, 1537]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.5 | 0.05 | 0.01 | [[737, 803, 1133, 1793], [692, 747, 1022, 1572], [654, 700, 930, 1390]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.6 | 0.2 | 0.001 | [[1092, 1171, 1566, 2356], [1026, 1090, 1410, 2050], [991, 1047, 1327, 1887]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.6 | 0.2 | 0.003 | [[1092, 1171, 1566, 2356], [1026, 1090, 1410, 2050], [991, 1047, 1327, 1887]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.6 | 0.2 | 0.005 | [[1082, 1147, 1472, 2122], [1052, 1111, 1406, 1996], [1019, 1071, 1331, 1851]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.6 | 0.2 | 0.01 | [[1095, 1153, 1443, 2023], [1058, 1108, 1358, 1858], [1024, 1067, 1282, 1712]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.6 | 0.15 | 0.001 | [[950, 1029, 1424, 2214], [884, 948, 1268, 1908], [850, 906, 1186, 1746]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.6 | 0.15 | 0.003 | [[950, 1029, 1424, 2214], [884, 948, 1268, 1908], [850, 906, 1186, 1746]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.6 | 0.15 | 0.005 | [[940, 1005, 1330, 1980], [910, 969, 1264, 1854], [878, 930, 1190, 1710]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.6 | 0.15 | 0.01 | [[953, 1011, 1301, 1881], [916, 966, 1216, 1716], [883, 926, 1141, 1571]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.6 | 0.1 | 0.001 | [[808, 888, 1288, 2088], [740, 804, 1124, 1764], [706, 762, 1042, 1602]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.6 | 0.1 | 0.003 | [[808, 888, 1288, 2088], [740, 804, 1124, 1764], [706, 762, 1042, 1602]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.6 | 0.1 | 0.005 | [[798, 864, 1194, 1854], [766, 825, 1120, 1710], [734, 786, 1046, 1566]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.6 | 0.1 | 0.01 | [[811, 870, 1165, 1755], [772, 822, 1072, 1572], [739, 782, 997, 1427]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.6 | 0.07 | 0.001 | [[785, 877, 1337, 2257], [717, 793, 1173, 1933], [677, 743, 1073, 1733]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.6 | 0.07 | 0.003 | [[785, 877, 1337, 2257], [717, 793, 1173, 1933], [677, 743, 1073, 1733]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.6 | 0.07 | 0.005 | [[775, 853, 1243, 2023], [743, 814, 1169, 1879], [705, 767, 1077, 1697]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.6 | 0.07 | 0.01 | [[788, 859, 1214, 1924], [746, 807, 1112, 1722], [710, 763, 1028, 1558]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.6 | 0.05 | 0.001 | [[759, 856, 1341, 2311], [688, 768, 1168, 1968], [646, 715, 1060, 1750]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.6 | 0.05 | 0.003 | [[759, 856, 1341, 2311], [688, 768, 1168, 1968], [646, 715, 1060, 1750]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.6 | 0.05 | 0.005 | [[749, 832, 1247, 2077], [714, 789, 1164, 1914], [674, 739, 1064, 1714]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.6 | 0.05 | 0.01 | [[762, 838, 1218, 1978], [717, 782, 1107, 1757], [679, 735, 1015, 1575]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.7 | 0.2 | 0.001 | [[1039, 1137, 1627, 2607], [965, 1045, 1445, 2245], [947, 1023, 1403, 2163]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.7 | 0.2 | 0.003 | [[1039, 1137, 1627, 2607], [965, 1045, 1445, 2245], [947, 1023, 1403, 2163]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.7 | 0.2 | 0.005 | [[1033, 1115, 1525, 2345], [1001, 1076, 1451, 2201], [965, 1032, 1367, 2037]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.7 | 0.2 | 0.01 | [[1047, 1121, 1491, 2231], [1005, 1069, 1389, 2029], [971, 1028, 1313, 1883]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.7 | 0.15 | 0.001 | [[923, 1021, 1511, 2491], [849, 929, 1329, 2129], [832, 908, 1288, 2048]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.7 | 0.15 | 0.003 | [[923, 1021, 1511, 2491], [849, 929, 1329, 2129], [832, 908, 1288, 2048]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.7 | 0.15 | 0.005 | [[917, 999, 1409, 2229], [885, 960, 1335, 2085], [850, 917, 1252, 1922]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.7 | 0.15 | 0.01 | [[931, 1005, 1375, 2115], [889, 953, 1273, 1913], [856, 913, 1198, 1768]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.7 | 0.1 | 0.001 | [[807, 905, 1395, 2375], [733, 813, 1213, 2013], [716, 792, 1172, 1932]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.7 | 0.1 | 0.003 | [[807, 905, 1395, 2375], [733, 813, 1213, 2013], [716, 792, 1172, 1932]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.7 | 0.1 | 0.005 | [[801, 883, 1293, 2113], [769, 844, 1219, 1969], [734, 801, 1136, 1806]] | 
